file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,aesthetics,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff
bin/data/videos_100/10_0(wedding)_(1).mp4,640,426,0.360713,99.5146,20.512,0.33787,93.2125,23.5527,0.301417,83.1558,23.9991,0.262587,0.368329,0.0867093,0.615574,0.854419,0.376729,0.357004,1,0.0342757,0.0346372,0.406743,0.0147535,0,0.0292218,0.104183,0.0749251,0.499501,0.1136,0,0.00243225,0.453247,0.0773556,0.46896,0.00175131,0.0414018
bin/data/videos_100/10_0(wedding)_(10).mp4,640,360,0.371851,102.607,6.13009,0.341715,94.2915,6.45651,0.286434,79.0373,6.61829,0.239105,0.37251,0.0240892,0.613834,0.841047,0.38662,0.463617,1,0.262624,0.285436,0.175074,0.00975342,0.00445104,0.0179816,0.113996,0.0749251,0.499501,0.096,0.160237,0.0384036,0.501102,0.111691,0.385723,0.00593472,0.0722722
bin/data/videos_100/10_0(wedding)_(11).mp4,640,480,0.420542,99.8324,23.082,0.316509,75.136,16.3466,0.262949,62.4214,14.9761,0.237149,0.317771,0.0697221,0.620766,0.840369,0.401163,1.75452,1,0.0960667,0.0989456,0.286723,0.0146375,0,0.0134137,0.14216,0.0749251,0.499501,0.128,0.144539,0.0169923,0.494635,0.054494,0.4504,0.00047081,0.054208
bin/data/videos_100/10_0(wedding)_(12).mp4,640,360,0.40029,112.025,21.7166,0.328751,92.004,5.85021,0.270959,75.8304,13.5557,0.512819,0.376965,0.0327645,0.686578,0.951393,0.421763,1.68048,1,0.182553,0.192931,0.06894,0.00136104,0,0.00885187,0.142537,0.0749251,0.499501,0.096,0.0733877,0.00657932,0.344296,0.0620517,0.593282,0.0370645,0.0618711
bin/data/videos_100/10_0(wedding)_(13).mp4,640,360,0.433408,22.1969,6.16367,0.271559,13.9078,3.61588,0.295033,15.11,2.90644,0.156782,0.0648878,0.0166126,0.64441,0.890132,0.398688,1.69948,1,0.0467075,0.0473716,0,0,0,0,0.0600801,0.0749251,0.499501,0.096,0,0.00789398,0.100246,0.0144697,0.884101,0,0.0455522
bin/data/videos_100/10_0(wedding)_(14).mp4,640,360,0.36904,104.174,19.8675,0.329908,93.1277,21.0219,0.301052,84.9822,27.1229,0.0719269,0.374398,0.081713,0.636242,0.872345,0.400138,1.56533,1,0.173835,0.183435,0.237074,0.00909907,0,0.0178358,0.141788,0.0625,0.416667,0.096,0.335435,0.133239,0.667357,0.118696,0.212686,0.136192,0.0452499
bin/data/videos_100/10_0(wedding)_(15).mp4,640,480,0.343307,52.5718,5.07953,0.336643,51.5513,5.98368,0.320051,49.0105,7.85436,0.190442,0.202115,0.0229738,0.624788,0.852711,0.396865,1.50017,1,0.205617,0.219257,0.016092,0.000463108,0,0.00306063,0.070813,0.0749251,0.499501,0.128,0.171264,0.0412328,0.251857,0.0566316,0.690362,0.00114943,0.0528373
bin/data/videos_100/10_0(wedding)_(16).mp4,640,480,0.340812,56.1276,17.92,0.32906,54.1923,19.8798,0.330128,54.3681,21.6674,0.0600558,0.21473,0.0760155,0.566441,0.769205,0.363677,1.20865,1,0.334102,0.372928,0.0274277,0.00123345,0,0.00508292,0.0533986,0.0749251,0.499501,0.128,0.29874,0.112848,0.292083,0.0409479,0.666597,0.00815419,0.0687777
bin/data/videos_100/10_0(wedding)_(17).mp4,640,428,0.394881,78.5383,7.83807,0.325305,64.7004,7.01169,0.279814,55.6524,6.36829,0.113255,0.265752,0.0278043,0.55009,0.743009,0.357171,1.23871,1,0.291212,0.32055,0.171779,0.00620619,0.000876424,0.0338031,0.0729655,0.0749251,0.499501,0.114133,0.259422,0.055578,0.335009,0.11435,0.549764,0,0.0680743
bin/data/videos_100/10_0(wedding)_(18).mp4,640,360,0.344849,124.924,19.4089,0.317156,114.892,21.3403,0.337995,122.441,27.5726,0.0657051,0.465506,0.0766508,0.537946,0.731074,0.344819,1.1631,1,0.110893,0.11493,0.10418,0.0189634,0.0159257,0.00730578,0.0752646,0.0749251,0.499501,0.096,0.222296,0.128715,0.652757,0.0495545,0.297025,0.216987,0.125622
