file_path,width,height,red_ratio,red_moment_1,red_moment_2,green_ratio,green_moment_1,green_moment_2,blue_ratio,blue_moment_1,blue_moment_2,focus,luminance,luminance_std,all_edges,v_edges,h_edges,d_edges,orientation,aesthetics,dif_hues,faces,faces_area,smiles,rule_of_thirds,static_saliency,rank_sum,fps,size,shackiness,motion_mag,fg_area,shadow_area,bg_area,camera_move,focus_diff
bin/data/videos_100/15_0(music_performance)_(1).mp4,640,480,0.359804,59.0061,11.3422,0.333329,54.6644,12.9565,0.306867,50.3248,16.5814,0.447341,0.217445,0.0490297,0.672325,0.85079,0.493859,4.05612,2,0.111624,0.115407,0.0292809,0.00214244,0.00111193,0.00521229,0.113525,0.0749251,0.499501,0.128,0.247591,0.0482897,0.42827,0.0426977,0.528661,0.00481838,0.0447665
bin/data/videos_100/15_0(music_performance)_(10).mp4,640,480,0.250468,29.5501,20.2474,0.294975,34.8011,22.7608,0.454557,53.6285,27.4863,0.115871,0.138691,0.0848137,0.483887,0.60536,0.362414,2.98081,1,0.104917,0.108616,0,0,0,0,0.0462473,0.0749251,0.499501,0.128,0.207077,0.0456477,0.302546,0.0166686,0.680206,0.00174014,0.0851358
bin/data/videos_100/15_0(music_performance)_(11).mp4,640,480,0.173851,11.0632,6.71551,0.323498,20.5862,13.8712,0.502652,31.987,22.3839,0.294372,0.0746155,0.0496928,0.458726,0.573392,0.344061,2.96787,0,0.0843469,0.0867643,0,0,0,0,0.0559098,0.0749251,0.499501,0.128,0.1473,0.0287677,0.209588,0.00528983,0.783486,0.00327332,0.0416851
bin/data/videos_100/15_0(music_performance)_(12).mp4,640,480,0.111216,1.91875,0.978848,0.475207,8.19854,6.51512,0.413578,7.13528,2.80357,0.049862,0.0243076,0.0169564,0.381046,0.470124,0.291968,2.8452,0,3.84333e-05,3.84339e-05,0,0,0,0,0.0367834,0.0749251,0.499501,0.128,0.149971,0.0176531,0.0887374,7.23348e-05,0.910611,0,0.0415489
bin/data/videos_100/15_0(music_performance)_(13).mp4,640,480,0.311105,22.3588,13.5809,0.183535,13.1904,7.78189,0.50536,36.3197,10.403,0.0483067,0.0727898,0.0348691,0.336468,0.401982,0.270955,2.27542,0,0.0261709,0.0264241,0,0,0.00111193,0,0.0475063,0.0749251,0.499501,0.128,0.207191,0.0188828,0.250567,0.00651409,0.742549,0,0.0417939
bin/data/videos_100/15_0(music_performance)_(14).mp4,480,640,0.462028,115.747,7.72995,0.142629,35.7315,3.82274,0.395342,99.0411,9.78425,0.125364,0.262049,0.0204485,0.341076,0.3987,0.283451,1.91868,0,0.113922,0.118841,0,0,0,0,0.0949017,0.06,0.4,0.128,0.16589,0.0152862,0.239413,0.0614108,0.698709,0.00139795,0.107
bin/data/videos_100/15_0(music_performance)_(15).mp4,480,640,0.494215,92.5714,7.88325,0.241759,45.2839,5.9439,0.264026,49.4547,6.50751,0.20726,0.234762,0.0229853,0.349388,0.404132,0.294643,1.87537,0,0.0185342,0.0186586,0,0,0,0,0.077703,0.0375,0.25,0.128,0.217617,0.026955,0.286183,0.0455271,0.66755,0,0.0665835
bin/data/videos_100/15_0(music_performance)_(16).mp4,320,240,0.391196,118.837,6.45191,0.339602,103.164,6.78954,0.269202,81.7779,8.09527,0.272609,0.413262,0.026616,0.368049,0.431997,0.304101,1.82945,0,0.00576347,0.00577525,0.0473815,0.00205033,0.00374065,0.00114909,0.143981,0.0375,0.25,0.032,0.130923,0.040637,0.395508,0.0768277,0.526417,0,0.132569
bin/data/videos_100/15_0(music_performance)_(17).mp4,640,480,0.497293,29.0236,9.13501,0.160408,9.36189,5.88407,0.342299,19.9777,9.95518,0.233259,0.0644759,0.0280016,0.368076,0.432631,0.30352,1.93598,0,0,0,0.0135659,0.000403822,0,0.00397477,0.0562905,0.0749251,0.499501,0.128,0.0891473,0.0308802,0.242286,0.000787938,0.754988,0,0.0416188
bin/data/videos_100/15_0(music_performance)_(18).mp4,640,480,0.378976,137.989,83.2484,0.293257,106.778,86.724,0.327768,119.343,84.9367,0.119019,0.460836,0.331864,0.369042,0.435971,0.302113,1.82901,0,0.0239695,0.0241744,0.0931174,0.00334717,0,0.0269667,0.0865575,0.0749251,0.499501,0.128,0.12247,0.0322195,0.660269,0.00640281,0.332315,0.559717,0.100038
